what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541777346238
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1541777346249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541777349293
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1541777350021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541777350053
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1541777350069
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1541777383373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1541777437116
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1541777437482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541777440650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541777467873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541777471828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541777683969
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541777687597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541777694539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541777698674
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1541777698685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541777703582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541777715465
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1541777715475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541777722149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541777730339
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1541777730347
