what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1541825956844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541825957695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541825977349
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541825982089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541825985550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541826236062
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1541826236134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541826244576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541826246647
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1541826246661
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1541826250521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541826255292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541826275223
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1541826275241
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1541826292630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541826299241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541826300488
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1541826301162
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1541826301274
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1541826302556
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1541826304524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541826332224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541826333565
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1541826333578
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1541826334186
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1541826334368
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1541826335029
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541826340986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541826353114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541826356452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541826356495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541826358153
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1541826358164
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1541826362105
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1541826362228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541826366003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541826395757
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1541826398572
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541826414510
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541826414784
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541826432537
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1541826536563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541826657215
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1541826657232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541826659156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541826851826
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1541826883814
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541826885270
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1541826885271
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1541826887727
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541826898025
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541826903118
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541826903229
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541826921765
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1541827033391
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1541827033440
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1541827033453
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1541827033466
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1541827044459
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1541827046153
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541827048127
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541827066597
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541827096712
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541827096824
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541827101889
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541827102257
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541827102348
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541827117589
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1541827118213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541827123585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541827191159
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1541827193713
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1541827193755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541827196342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541827222157
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1541827226944
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1541827227279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541827236434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541827247435
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541827249438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541827264270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541827266584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541827279229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541827281369
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541827311695
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541827314263
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541827342192
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541827344327
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541827344713
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1541827352016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541827354169
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541827356621
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1541827359171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1541827360505
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1541827368777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541827368945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541827372109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541827397406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541827399117
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541827400222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541827401531
