what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541770692047
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541770708104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541770722520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541770741330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541770744430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541770747734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541770789391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541770801339
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1541770810843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1541770815993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541770816764
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541770884010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541770886409
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541774361130
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541774386910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541774388579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541774394661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541774405919
error,log,,,"Internal Error",1541774411700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541774418241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541774516688
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541774518737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541774524724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541774547027
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1541774547048
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1541774559004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541774564708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541774602615
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1541774618525
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541774627709
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541774629522
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541774632491
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541774633416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541774640279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541774641814
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1541774641824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541774647161
