what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541743923956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541743927757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541744108575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541744109175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541744346021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541744359960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541744548513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541744550340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541745182339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541745183397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541764115997
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541764118211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541764130154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541764150746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541764157072
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541764159202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541764162276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541764164031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1541764164047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541764167931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541764169460
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1541764169477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541764175656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541764185657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541764193102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541764203716
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541764205720
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541764206313
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541764207767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541764212113
