what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767507163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767520485
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767520637
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541767523651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767540523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767549905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767569286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767585726
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541767587536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767591669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767593374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767598369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767606476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767615077
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767634992
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541767635568
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541767635724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767640396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767647150
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1541767648522
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541767649734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767655066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767655227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767658482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767658636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767661559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767661661
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541767667327
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541767679972
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541767694745
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541767697625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767715890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767716077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767719991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767727006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767728403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767732197
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767745252
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767756487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767767483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767775304
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541767836120
