what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1541835647521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1541835651192
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1541835654802
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541835655992
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541835659661
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1541835659899
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541835676916
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541835677229
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541835689142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541835693511
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541835695384
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1541835695402
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1541835695579
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1541835695632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541835698867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541835737833
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1541835740353
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541835746915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541835749460
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541836765408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541836766299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541837546754
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541837550641
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541837639040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541837639621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541838504303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541838507659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541838668053
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541838669689
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541838669989
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541838902552
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541838902735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541838905549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541838912459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541838970095
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541838980129
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541838981662
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1541838981927
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1541838994736
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541838996544
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1541838998588
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541838999917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839105572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839113907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1541839133259
error,log,,,"Internal Error",1541839137162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839138778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839139850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839143706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839144181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839150061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839150286
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541839161186
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1541839164888
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1541839168309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541839168975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839174100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839177058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839186955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839201007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1541839202285
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541839204302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839207244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839700155
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1541839702464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839705447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839710002
activated,view,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1541839716061
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1541839719268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839720739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839741841
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1541839743438
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541839754669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839758693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839768608
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1541839772444
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541839773755
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541839817039
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1541839821367
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1541839841187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1541839844373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541839861039
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541839915127
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541839917198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839925149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839927257
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839927310
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839928590
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1541839928601
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839931308
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1541839933817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839933874
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1541839933893
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1541839974242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839975313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541839999939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541840015657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541840020020
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1541840025165
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1541840025658
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1541840025658
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1541840027679
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1541840027709
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541840031347
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541840031669
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541840037540
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541840037720
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541840049137
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1541840049465
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541840082914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1541840091759
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1541840094190
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1541840151916
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541840153332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541840157799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541840198914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541840287798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541840423515
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541840427137
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541840427389
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541840430309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541840434275
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1541840437701
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541840439029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541840443220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541840443367
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541840445564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541840478502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541840499956
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1541840506084
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1541840508436
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541840509711
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1541840511029
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541840512144
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541840537862
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541840550565
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541840623766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541840634609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541840647971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541840649834
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1541840666585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541840690840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541840771841
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1541840775567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541840783036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541840821105
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541840844653
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1541840864129
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541840874168
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541840907659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541840917574
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541840919421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541840919470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541840920774
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1541840920784
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1541840925225
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1541840925379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541840927528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541840960995
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541840977044
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541840999695
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541841145981
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1541841185559
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541841191766
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1541841198934
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1541841201985
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541841202862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541841215138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541841250096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541841308809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541841532258
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541841533458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541844938853
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541844948242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541844966298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541844973648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541844974797
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541845096316
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1541845104374
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541845105655
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1541845105655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541845145121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541845189882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541845236412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541845411413
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541845426282
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541845441763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541845443490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541845554319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541845556197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541845701499
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541845710501
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1541845710796
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541845806208
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1541845819534
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541845830859
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541845831128
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541845833747
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1541845834292
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1541845841213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541845842473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541845930971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541845934802
