what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541673004399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541673294265
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1541673398030
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1541673411760
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541673413570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541673428496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541673457043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541673462027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541673470083
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541673471348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541673475545
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1541673497342
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/Banking",1541673497345
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1541673497348
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/Banking",1541673497349
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1541673497496
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1541673497568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541673497632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541673501336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541673745701
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1541673747314
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1541673775252
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1541673775351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541673783295
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541673787356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541673792859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541673809163
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1541673821307
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541673825046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541673829318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541673835810
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1541673835822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1541673835823
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1541673837014
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541673840693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541673844833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541673849137
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1541673849151
